epoch,train_loss,train_acc,test_loss,test_acc
1,0.40662172402381896,0.86012,0.3116197024345398,0.8956
2,0.24237316924095154,0.91588,0.30254351620674136,0.896
3,0.1932060354089737,0.93384,0.2854865878582001,0.9056
4,0.16886299349308015,0.94288,0.26666031432151793,0.911
5,0.15057818960905076,0.9476,0.30545666350126266,0.9038
6,0.14009205609560013,0.95132,0.28053773725032805,0.9156
7,0.12876342966079712,0.956,0.25626124603748324,0.9166
8,0.11858419160366059,0.95844,0.2472576895713806,0.9264
9,0.10296349781990051,0.96436,0.23111380298137665,0.9294
10,0.10446900604605674,0.96552,0.3127058164715767,0.9082
11,0.10016970643997192,0.96588,0.3194110028743744,0.903
12,0.09904629080832004,0.96552,0.24005798926353455,0.9228
13,0.088362671379745,0.96888,0.2622612091779709,0.9255
14,0.08993732107281685,0.96896,0.28624675979614256,0.9127
15,0.08231976445794105,0.97088,0.2999969172954559,0.9139
16,0.08070784526288509,0.97148,0.3008638184070587,0.9146
17,0.08544019987046719,0.97084,0.265528537273407,0.9212
18,0.0693860303875804,0.97588,0.27633117189407347,0.9188
19,0.07209676760017872,0.97424,0.36807124207019803,0.8997
20,0.07883392144918441,0.97188,0.27784621682167054,0.9155
